product_id,product_name,price,product_description,inventory,weight,category_id,seller_id,product_views
p001,SmartHome Hub,110.5,A central control hub for all your smart home devices.,68,5.47,c01,s00001,800
p002,Wireless Bluetooth Earbuds,39.6,Enjoy wireless freedom with high-quality audio.,4,3.07,c01,s00001,818
p003,4K Ultra HD Smart TV,129.5,"Bring the cinema experience home with our 4K Ultra HD Smart TV, delivering stunning visuals and smart features.",1,4.86,c01,s00002,907
p004,Smart Coffee Maker,34.6,Brew your favorite coffee with smart features.,55,4.52,c02,s00002,851
p005,Non-Stick Cookware Set,124.5,Premium cookware for your kitchen.,44,3.19,c02,s00003,751
p006,Smart Mini Refrigerator,52.8,"Keep your food fresh and organized with our Smart Refrigerator, featuring advanced cooling technology.",30,6.66,c02,s00003,932
p007,Fitness Tracker,114.5,Track your fitness activities with this advanced device.,8,4.95,c03,s00004,845
p008,Camping Tent,28.5,Explore the outdoors with a durable camping tent.,9,9.39,c03,s00004,745
p009,Waterproof Hiking Boots,149.1,"Conquer any trail with our Waterproof Hiking Boots, keeping your feet dry and comfortable in any weather.",16,1.86,c03,s00005,815
p010,Classic Leather Jacket,22.5,"Make a statement with our Classic Leather Jacket, a timeless piece that never goes out of style.",27,2.45,c04,s00005,753
p011,Stylish Sunglasses,69.9,"Shield your eyes in style with our Stylish Sunglasses, the perfect accessory for any sunny day.",62,6.48,c04,s00365,891
p012,Cozy Knit Sweater,142.1,"Embrace warmth and comfort with our Cozy Knit Sweater, a versatile addition to your wardrobe.",87,1.03,c04,s00104,805
p013,Luxury Concealer,82.4,"Indulge in the ultimate concealer experience, promoting radiant and youthful skin.",13,5.26,c05,s00280,684
p014,Professional Hair Dryer,23.4,"Achieve salon-quality results at home with our Professional Hair Dryer, designed for efficiency and style.",16,1.51,c05,s00431,501
p015,Relaxing Aromatherapy Candle,62.4,"Unwind and de-stress with our Relaxing Aromatherapy Candle, creating a calming atmosphere in any room.",65,2.09,c05,s00483,527
p016,Fitness Tracker Watch,34.6,"Take charge of your health journey with our Fitness Tracker Watch, monitoring your activity and well-being.",19,3.43,c06,s00247,891
p017,Organic Superfood Blend,9.4,"Boost your nutrition with our Organic Superfood Blend, a powerhouse of essential nutrients for optimal health.",68,6.47,c06,s00075,683
